userId;state;action_reward;n_state
538;50&5|956&3|97&5|31&3|96&4|202&4|98&5|423&4|4&3|317&4|11&4|79&4;121&3|204&3|213&3|483&5;50&5|956&3|97&5|31&3|96&4|202&4|98&5|423&4|4&3|317&4|11&4|79&4|121&3|204&3|213&3|483&5
398;172&5|85&4|154&2|735&4|185&5|204&4|73&3|504&3|284&2|31&3|591&3|97&4;71&5|712&2|186&4|1119&4;172&5|85&4|154&2|735&4|185&5|204&4|73&3|504&3|284&2|31&3|591&3|97&4|71&5|712&2|186&4|1119&4
517;269&3|369&5|229&3|25&2|333&3|328&3|181&4|222&4|117&4|755&3|294&1|105&1;258&5|748&4|740&4|283&4;269&3|369&5|229&3|25&2|333&3|328&3|181&4|222&4|117&4|755&3|294&1|105&1|258&5|748&4|740&4|283&4
291;928&2|741&5|770&4|212&4|685&5|825&4|84&3|578&4|219&4|562&4|151&5|655&4;28&4|794&4|376&3|780&5;928&2|741&5|770&4|212&4|685&5|825&4|84&3|578&4|219&4|562&4|151&5|655&4|28&4|794&4|376&3|780&5
7;441&2|543&3|652&3|549&4|679&5|547&3|402&5|633&5|471&4|8&5|39&5|223&5;555&4|677&3|585&4|53&5;441&2|543&3|652&3|549&4|679&5|547&3|402&5|633&5|471&4|8&5|39&5|223&5|555&4|677&3|585&4|53&5
563;1035&4|294&3|70&4|476&3|172&5|301&4|304&2|401&4|167&4|254&3|321&5|255&5;181&4|153&4|50&5|781&4;1035&4|294&3|70&4|476&3|172&5|301&4|304&2|401&4|167&4|254&3|321&5|255&5|181&4|153&4|50&5|781&4
477;778&4|255&5|709&5|451&5|794&4|1051&5|275&5|815&5|25&5|781&4|294&4|756&4;289&5|66&5|546&4|282&4;778&4|255&5|709&5|451&5|794&4|1051&5|275&5|815&5|25&5|781&4|294&4|756&4|289&5|66&5|546&4|282&4
327;1103&4|672&2|845&3|792&4|311&3|250&2|154&4|411&3|298&3|865&5|507&4|708&4;1100&4|588&4|1141&3|143&4;1103&4|672&2|845&3|792&4|311&3|250&2|154&4|411&3|298&3|865&5|507&4|708&4|1100&4|588&4|1141&3|143&4
905;150&4|748&2|326&3|294&3|471&4|302&5|124&4|245&3|742&4|117&3|116&3|333&3;1051&2|475&3|1011&3|871&2;150&4|748&2|326&3|294&3|471&4|302&5|124&4|245&3|742&4|117&3|116&3|333&3|1051&2|475&3|1011&3|871&2
134;313&5|286&3|539&4|751&5|323&4|315&3|300&3|339&2|328&4|316&4|301&2|302&2;508&3|892&2|338&4|15&5;313&5|286&3|539&4|751&5|323&4|315&3|300&3|339&2|328&4|316&4|301&2|302&2|508&3|892&2|338&4|15&5
587;322&3|245&1|310&3|272&5|748&1|995&3|539&3|327&3|270&4|302&3|349&3|319&3;888&3|902&2|876&2|266&1;322&3|245&1|310&3|272&5|748&1|995&3|539&3|327&3|270&4|302&3|349&3|319&3|888&3|902&2|876&2|266&1
842;306&4|333&4|315&3|258&3|324&4|874&5|749&4|362&3|313&4|754&1|340&5|272&4;1105&2|752&4|349&3|886&4;306&4|333&4|315&3|258&3|324&4|874&5|749&4|362&3|313&4|754&1|340&5|272&4|1105&2|752&4|349&3|886&4
728;508&4|25&4|323&3|322&4|471&4|286&3|319&3|742&4|748&3|124&3|289&3|678&4;871&2|100&5|15&4|117&4;508&4|25&4|323&3|322&4|471&4|286&3|319&3|742&4|748&3|124&3|289&3|678&4|871&2|100&5|15&4|117&4
39;319&4|900&3|270&4|307&2|269&4|345&3|302&5|333&4|306&3|315&4|272&2|339&3;937&5|288&5|347&4|352&5;319&4|900&3|270&4|307&2|269&4|345&3|302&5|333&4|306&3|315&4|272&2|339&3|937&5|288&5|347&4|352&5
45;237&4|762&4|100&5|257&5|742&4|276&5|109&5|127&5|596&3|111&4|284&4|993&4;411&3|934&2|820&4|926&3;237&4|762&4|100&5|257&5|742&4|276&5|109&5|127&5|596&3|111&4|284&4|993&4|411&3|934&2|820&4|926&3
230;435&4|125&5|240&1|304&5|186&4|50&5|202&4|98&5|209&1|294&5|378&5|143&5;420&5|511&2|1444&2|402&5;435&4|125&5|240&1|304&5|186&4|50&5|202&4|98&5|209&1|294&5|378&5|143&5|420&5|511&2|1444&2|402&5
822;408&5|1091&1|902&4|539&2|101&2|272&3|206&3|588&2|1&4|333&4|358&3|1240&3;410&1|926&2|25&3|235&3;408&5|1091&1|902&4|539&2|101&2|272&3|206&3|588&2|1&4|333&4|358&3|1240&3|410&1|926&2|25&3|235&3
692;1012&1|762&4|523&3|1028&3|300&4|204&5|56&3|1&4|756&2|257&4|208&4|194&4;1040&2|1132&4|411&4|1054&3;1012&1|762&4|523&3|1028&3|300&4|204&5|56&3|1&4|756&2|257&4|208&4|194&4|1040&2|1132&4|411&4|1054&3
131;127&4|285&5|1281&4|286&5|100&5|287&4|274&3|221&3|813&3|297&4|248&3|251&5;313&5|536&5|276&5|750&5;127&4|285&5|1281&4|286&5|100&5|287&4|274&3|221&3|813&3|297&4|248&3|251&5|313&5|536&5|276&5|750&5
93;125&1|276&2|815&4|222&4|15&5|477&5|866&2|121&3|151&1|476&4|1&5|118&3;820&3|235&4|412&2|934&3;125&1|276&2|815&4|222&4|15&5|477&5|866&2|121&3|151&1|476&4|1&5|118&3|820&3|235&4|412&2|934&3
719;255&2|289&2|237&2|660&5|410&1|357&4|137&1|659&4|742&4|318&5|79&4|509&2;582&3|23&3|88&3|66&3;255&2|289&2|237&2|660&5|410&1|357&4|137&1|659&4|742&4|318&5|79&4|509&2|582&3|23&3|88&3|66&3
111;333&4|887&3|286&4|301&4|315&5|313&4|302&5|340&4|328&4|354&4|304&4|272&3;307&2|344&2|326&3|896&2;333&4|887&3|286&4|301&4|315&5|313&4|302&5|340&4|328&4|354&4|304&4|272&3|307&2|344&2|326&3|896&2
850;79&5|121&5|15&5|97&5|496&5|566&5|172&5|173&5|208&5|318&5|132&5|568&5;162&3|419&5|228&5|648&5;79&5|121&5|15&5|97&5|496&5|566&5|172&5|173&5|208&5|318&5|132&5|568&5|162&3|419&5|228&5|648&5
122;553&3|69&2|513&4|193&4|180&5|215&4|191&5|673&3|1045&4|429&3|190&4|57&2;1168&4|1074&4|737&4|727&4;553&3|69&2|513&4|193&4|180&5|215&4|191&5|673&3|1045&4|429&3|190&4|57&2|1168&4|1074&4|737&4|727&4
86;888&4|338&1|304&3|269&4|289&3|879&2|881&2|328&2|300&3|327&4|326&3|872&3;683&5|1175&5|889&5|1176&5;888&4|338&1|304&3|269&4|289&3|879&2|881&2|328&2|300&3|327&4|326&3|872&3|683&5|1175&5|889&5|1176&5
769;222&4|284&3|1028&3|473&3|111&5|1&4|1093&3|411&3|1011&3|15&3|748&2|237&3;1312&2|120&1|1322&2|934&4;222&4|284&3|1028&3|473&3|111&5|1&4|1093&3|411&3|1011&3|15&3|748&2|237&3|1312&2|120&1|1322&2|934&4
605;371&5|187&5|9&4|288&5|132&5|238&1|496&5|180&4|531&4|526&5|754&3|294&4;252&4|827&3|333&4|619&4;371&5|187&5|9&4|288&5|132&5|238&1|496&5|180&4|531&4|526&5|754&3|294&4|252&4|827&3|333&4|619&4
460;847&3|288&2|13&3|224&4|10&3|322&3|7&3|253&3|313&4|1142&4|532&3|1011&4;20&4|1380&3|298&2|307&4;847&3|288&2|13&3|224&4|10&3|322&3|7&3|253&3|313&4|1142&4|532&3|1011&4|20&4|1380&3|298&2|307&4
682;518&4|801&3|1067&3|187&5|467&3|72&3|924&5|268&5|573&4|722&4|291&1|365&3;174&4|217&4|2&3|806&3;518&4|801&3|1067&3|187&5|467&3|72&3|924&5|268&5|573&4|722&4|291&1|365&3|174&4|217&4|2&3|806&3
849;406&4|298&5|118&5|121&5|288&5|588&5|27&5|421&5|174&5|172&5|568&4|234&5;676&5|207&5|133&5|15&5;406&4|298&5|118&5|121&5|288&5|588&5|27&5|421&5|174&5|172&5|568&4|234&5|676&5|207&5|133&5|15&5
884;640&1|258&5|285&4|1009&2|713&3|638&4|179&5|275&4|9&5|268&4|165&3|1073&4;382&5|949&2|582&5|1214&1;640&1|258&5|285&4|1009&2|713&3|638&4|179&5|275&4|9&5|268&4|165&3|1073&4|382&5|949&2|582&5|1214&1
811;895&5|892&4|307&4|289&2|301&5|258&5|323&5|321&3|308&4|286&5|243&3|294&4;315&4|901&4|748&3|988&4;895&5|892&4|307&4|289&2|301&5|258&5|323&5|321&3|308&4|286&5|243&3|294&4|315&4|901&4|748&3|988&4
706;294&4|323&4|687&1|288&3|628&4|331&5|325&1|25&4|100&1|245&3|24&3|125&5;237&4|756&4|410&4|148&4;294&4|323&4|687&1|288&3|628&4|331&5|325&1|25&4|100&1|245&3|24&3|125&5|237&4|756&4|410&4|148&4
468;508&4|294&3|926&2|100&5|15&4|82&5|180&5|742&3|5&3|1016&3|143&5|182&5;44&4|39&3|42&4|856&4;508&4|294&3|926&2|100&5|15&4|82&5|180&5|742&3|5&3|1016&3|143&5|182&5|44&4|39&3|42&4|856&4
383;185&5|654&5|504&4|505&4|604&5|321&5|81&4|124&4|135&5|134&5|180&5|9&5;603&5|58&4|488&4|89&3;185&5|654&5|504&4|505&4|604&5|321&5|81&4|124&4|135&5|134&5|180&5|9&5|603&5|58&4|488&4|89&3
555;301&4|111&4|117&4|318&4|25&4|252&5|7&4|271&3|150&4|274&4|168&4|285&5;265&3|195&4|357&4|489&5;301&4|111&4|117&4|318&4|25&4|252&5|7&4|271&3|150&4|274&4|168&4|285&5|265&3|195&4|357&4|489&5
218;39&2|47&4|153&4|430&3|273&4|154&4|648&4|642&3|517&3|431&3|100&4|98&5;591&3|410&3|294&2|203&4;39&2|47&4|153&4|430&3|273&4|154&4|648&4|642&3|517&3|431&3|100&4|98&5|591&3|410&3|294&2|203&4
482;682&3|301&4|243&2|245&4|289&3|269&4|315&3|288&3|313&5|286&3|294&4|881&3;295&3|298&4|50&4|249&2;682&3|301&4|243&2|245&4|289&3|269&4|315&3|288&3|313&5|286&3|294&4|881&3|295&3|298&4|50&4|249&2
647;231&4|29&4|72&4|222&4|136&5|22&5|1016&4|255&4|631&4|403&4|496&4|402&4;831&3|604&4|1263&3|73&5;231&4|29&4|72&4|222&4|136&5|22&5|1016&4|255&4|631&4|403&4|496&4|402&4|831&3|604&4|1263&3|73&5
160;1019&5|461&5|408&4|79&4|285&4|201&5|153&3|462&4|182&5|50&4|463&4|187&5;61&4|325&3|531&5|564&3;1019&5|461&5|408&4|79&4|285&4|201&5|153&3|462&4|182&5|50&4|463&4|187&5|61&4|325&3|531&5|564&3
335;902&5|305&4|355&3|324&1|342&2|245&4|307&5|271&4|300&5|269&4|333&4|340&5;260&3|678&3|748&2|322&4;902&5|305&4|355&3|324&1|342&2|245&4|307&5|271&4|300&5|269&4|333&4|340&5|260&3|678&3|748&2|322&4
289;147&3|815&3|109&3|24&4|471&4|1&3|151&2|117&4|685&4|477&2|1016&5|742&4;405&2|254&1|21&1|926&3;147&3|815&3|109&3|24&4|471&4|1&3|151&2|117&4|685&4|477&2|1016&5|742&4|405&2|254&1|21&1|926&3
397;665&3|484&5|108&4|1018&4|480&5|298&4|693&4|591&4|197&5|12&4|56&5|171&5;302&5|109&4|23&5|156&5;665&3|484&5|108&4|1018&4|480&5|298&4|693&4|591&4|197&5|12&4|56&5|171&5|302&5|109&4|23&5|156&5
727;596&4|148&2|98&4|72&3|930&3|89&5|679&5|933&1|1165&2|42&5|841&3|67&4;167&2|217&3|232&3|755&2;596&4|148&2|98&4|72&3|930&3|89&5|679&5|933&1|1165&2|42&5|841&3|67&4|167&2|217&3|232&3|755&2
123;182&4|14&5|319&4|962&3|1269&2|288&3|480&3|482&4|485&5|435&5|132&3|606&3;285&5|432&5|9&5|13&3;182&4|14&5|319&4|962&3|1269&2|288&3|480&3|482&4|485&5|435&5|132&3|606&3|285&5|432&5|9&5|13&3
350;153&3|258&3|132&5|133&5|654&5|435&5|183&3|429&4|174&5|173&4|181&4|168&5;185&5|179&5|176&4|483&5;153&3|258&3|132&5|133&5|654&5|435&5|183&3|429&4|174&5|173&4|181&4|168&5|185&5|179&5|176&4|483&5
629;300&4|1038&3|241&5|234&4|886&3|309&3|276&5|651&5|317&4|191&3|273&2|277&5;504&4|392&4|202&4|7&2;300&4|1038&3|241&5|234&4|886&3|309&3|276&5|651&5|317&4|191&3|273&2|277&5|504&4|392&4|202&4|7&2
743;297&5|321&2|322&3|181&3|301&4|338&1|289&3|269&4|268&4|748&4|294&2|879&4;222&4|273&3|224&5|9&5;297&5|321&2|322&3|181&3|301&4|338&1|289&3|269&4|268&4|748&4|294&2|879&4|222&4|273&3|224&5|9&5
637;235&1|740&2|595&3|1374&1|338&4|1344&4|245&3|275&3|282&3|100&4|873&1|301&1;685&3|831&1|460&2|717&3;235&1|740&2|595&3|1374&1|338&4|1344&4|245&3|275&3|282&3|100&4|873&1|301&1|685&3|831&1|460&2|717&3
730;100&5|237&3|15&4|258&5|1012&5|1&4|7&4|301&1|327&2|300&3|269&5|332&3;535&2|685&2|181&2|125&4;100&5|237&3|15&4|258&5|1012&5|1&4|7&4|301&1|327&2|300&3|269&5|332&3|535&2|685&2|181&2|125&4
511;880&5|358&1|288&4|313&5|355&2|292&5|346&4|271&5|948&3|340&4|682&4|300&4;294&4|1527&4|678&2|322&3;880&5|358&1|288&4|313&5|355&2|292&5|346&4|271&5|948&3|340&4|682&4|300&4|294&4|1527&4|678&2|322&3
53;50&4|257&4|174&5|64&5|284&2|24&3|199&5|96&4|845&3|228&3|628&5|15&5;924&3|121&4|1087&4|748&2;50&4|257&4|174&5|64&5|284&2|24&3|199&5|96&4|845&3|228&3|628&5|15&5|924&3|121&4|1087&4|748&2
355;307&4|1175&5|329&3|682&4|264&4|306&4|882&4|689&4|288&5|260&4|310&4|324&4;319&5|271&3|872&4|242&4;307&4|1175&5|329&3|682&4|264&4|306&4|882&4|689&4|288&5|260&4|310&4|324&4|319&5|271&3|872&4|242&4
95;188&3|234&2|111&4|1&5|560&1|498&3|257&5|143&4|443&3|660&5|520&4|62&4;712&2|200&2|960&2|197&4;188&3|234&2|111&4|1&5|560&1|498&3|257&5|143&4|443&3|660&5|520&4|62&4|712&2|200&2|960&2|197&4
790;229&3|246&4|826&1|143&3|79&4|365&4|763&3|80&2|1282&5|568&3|401&4|202&3;552&2|665&3|561&3|364&2;229&3|246&4|826&1|143&3|79&4|365&4|763&3|80&2|1282&5|568&3|401&4|202&3|552&2|665&3|561&3|364&2
186;118&2|263&3|71&5|1016&5|269&1|121&2|306&4|288&1|568&4|934&3|237&2|100&4;257&4|327&3|1253&4|148&4;118&2|263&3|71&5|1016&5|269&1|121&2|306&4|288&1|568&4|934&3|237&2|100&4|257&4|327&3|1253&4|148&4
716;497&3|248&4|294&4|1047&3|519&3|183&2|22&5|134&5|404&4|546&1|122&2|602&5;949&3|218&3|160&2|521&3;497&3|248&4|294&4|1047&3|519&3|183&2|22&5|134&5|404&4|546&1|122&2|602&5|949&3|218&3|160&2|521&3
675;1007&4|900&4|463&5|312&2|509&5|750&4|86&4|306&5|305&4|311&3|258&3|321&2;650&5|223&1|1101&4|937&1;1007&4|900&4|463&5|312&2|509&5|750&4|86&4|306&5|305&4|311&3|258&3|321&2|650&5|223&1|1101&4|937&1
471;946&2|588&1|432&1|477&5|225&5|82&5|596&1|172&4|465&5|932&5|627&1|8&5;71&3|420&1|102&5|151&2;946&2|588&1|432&1|477&5|225&5|82&5|596&1|172&4|465&5|932&5|627&1|8&5|71&3|420&1|102&5|151&2
145;431&5|1073&5|181&5|682&3|77&3|678&2|620&3|109&4|237&5|1023&1|1001&4|202&4;227&4|1051&2|752&4|1210&1;431&5|1073&5|181&5|682&3|77&3|678&2|620&3|109&4|237&5|1023&1|1001&4|202&4|227&4|1051&2|752&4|1210&1
796;12&5|323&2|118&4|33&3|48&3|194&4|147&5|778&4|815&4|934&3|328&5|433&2;63&3|281&4|1522&3|769&4;12&5|323&2|118&4|33&3|48&3|194&4|147&5|778&4|815&4|934&3|328&5|433&2|63&3|281&4|1522&3|769&4
431;286&4|690&3|328&4|748&4|358&2|323&3|302&3|879&3|294&5|245&4|322&4|300&4;754&3|307&3|988&2|538&4;286&4|690&3|328&4|748&4|358&2|323&3|302&3|879&3|294&5|245&4|322&4|300&4|754&3|307&3|988&2|538&4
97;183&5|23&5|1&4|192&1|195&5|115&5|435&4|202&5|89&5|430&5|132&5|661&5;153&5|431&3|208&5|32&5;183&5|23&5|1&4|192&1|195&5|115&5|435&4|202&5|89&5|430&5|132&5|661&5|153&5|431&3|208&5|32&5
467;269&4|246&5|264&2|268&5|109&5|124&5|50&4|276&5|7&5|298&4|258&2|919&2;108&4|249&3|742&2|288&4;269&4|246&5|264&2|268&5|109&5|124&5|50&4|276&5|7&5|298&4|258&2|919&2|108&4|249&3|742&2|288&4
588;131&5|15&5|326&4|98&1|288&4|215&5|286&4|272&5|731&2|1039&4|181&5|969&5;1311&1|231&4|380&3|110&3;131&5|15&5|326&4|98&1|288&4|215&5|286&4|272&5|731&2|1039&4|181&5|969&5|1311&1|231&4|380&3|110&3
546;690&2|294&1|200&5|928&4|100&3|164&4|5&5|236&4|185&4|457&1|222&4|413&4;53&5|860&4|672&3|769&4;690&2|294&1|200&5|928&4|100&3|164&4|5&5|236&4|185&4|457&1|222&4|413&4|53&5|860&4|672&3|769&4
77;154&5|215&2|156&4|238&5|1028&1|222&4|474&5|15&2|144&3|199&5|168&4|498&5;28&5|210&3|97&2|265&3;154&5|215&2|156&4|238&5|1028&1|222&4|474&5|15&2|144&3|199&5|168&4|498&5|28&5|210&3|97&2|265&3
