item_id;vectors
10;-0.065475285|-0.457498|0.53650004|0.856022|-0.09699802|0.3083159|-0.19875585|0.50301886|0.2195161|0.12461239|0.17258802|0.3504345|0.3531059|-0.5485004|0.10039562|-0.33393532|0.30107605|0.36912352|0.12313685|-0.30996054|-0.21064526|-0.30903608|-0.6348332|-0.2598273|-0.9197688|-0.25418103|-0.14134294|0.79027665|-0.13527314|-0.6090758|-0.48039|-0.034246117|0.7023654|-0.051532164|-0.0431042|-0.30988324|-0.24050404|-0.27975106|-0.22891936|-0.38448852|0.07785088|-0.83449864|-0.41805604|-0.6390804|-0.2492671|-0.23078816|0.20188874|-0.34966025|0.21052003|0.07634762|0.3551713|-0.4938035|-0.56561613|-0.31540722|-0.99024826|-0.32929575|0.11520362|-0.11206737|0.08018321|-0.48400712|0.16717508|-0.08424251|0.62445295|-0.25000978|0.718181|0.35393536|-0.42045793|-0.41425866|0.7138682|0.52116054|-0.25000972|0.24873649|-0.6915082|-0.5776762|-0.07760221|0.048774555|-0.53796834|-0.5026059|-0.43131104|-0.08896837|0.080573745|-0.6782707|-0.2722167|-0.4713354|-0.3104782|0.051218703|0.9337381|0.0632625|0.051620364|0.92883277|-0.4454767|-0.41256443|-0.46323022|0.3617063|-0.7357383|-0.19076188|0.024702445|0.86980087|-0.20979516|-0.40011474
11;1.145138|-0.6685766|0.6173923|0.71347046|0.061584175|0.76834387|0.0069907606|-0.018560946|0.02990523|-0.3677882|0.54918355|-1.0551459|-0.2687846|-0.5113646|0.59825|-1.0894718|-0.052663364|1.1164057|1.1433159|-1.1097691|0.3202005|0.13060158|0.031089067|-0.64613384|-0.017080888|-0.07454267|0.20144287|0.2819331|0.41687298|-0.8049116|0.71248376|-0.27352118|0.7918872|0.533017|-0.52445644|0.40477848|-0.3253459|0.36557305|-0.09027392|-0.15604791|0.40927392|-0.15438572|-0.5779672|-0.36716747|-0.29824695|-0.7430981|-0.43434477|0.1944741|0.20615673|0.63580334|0.29454118|0.34832695|-0.50239825|0.35464266|0.15790036|-0.000552997|-0.67385626|-0.30192846|-0.41150138|-0.3627429|-0.0015842468|0.5164717|0.036669374|0.3002736|-0.19048406|0.8620392|-0.452264|0.28881395|0.087191164|-0.004273638|-0.096349806|0.48020345|-1.0032587|0.5097262|-0.70270836|-0.11207317|-0.18845461|-0.8380277|0.6904891|0.08612749|0.036140792|0.41161734|0.017923594|0.25682867|-0.05001867|0.12967369|-0.2737392|-0.025887601|0.105172694|0.68543017|-0.59445465|0.65857816|-0.7273828|-0.042236596|0.34086415|-0.33014742|-0.7840252|0.8629643|0.2137353|-0.12553494
12;0.20103464|-0.37849998|0.13729097|0.2146182|-0.14861253|0.5424085|-1.4238136|0.47873095|0.052806467|-0.53203267|0.5003658|0.35475978|0.20523857|-0.24895972|0.8087138|-0.5671972|0.59388244|0.23443787|0.25506377|-0.18201888|-0.08282626|0.6264098|-0.5577934|0.16660507|-0.6738678|-0.096434414|-0.47086802|0.7384857|0.4914679|-0.57809913|-0.5040006|0.066603675|0.5230641|-0.023790501|-0.5324613|0.73430955|0.0045033693|-0.066766545|-0.70900404|-0.28313714|-0.22659376|-0.4116653|-0.15463704|-1.1428741|0.3850682|-0.2810458|-0.36629307|0.25025257|0.30224678|0.26345026|1.0565729|-0.47457018|0.034267545|-0.021758106|-0.49905205|-0.11219862|-0.18893106|-0.2953942|-0.014321722|-0.14953914|-0.45832062|0.12641132|0.5023772|0.31346917|-0.08529383|0.2928873|-0.79327106|-0.48808432|0.3969794|0.14439401|0.2999616|0.47169173|-0.4603816|0.5284285|-0.68610716|0.5384862|-0.51788783|-1.1897368|0.35218796|0.23952188|0.14131919|0.29674584|-0.6258155|0.436096|-0.6719246|0.5064859|-0.3222703|-0.054785408|0.38883394|-0.017277956|-0.2950797|0.06599489|-0.24114911|0.2357951|-0.5438796|0.085631885|0.4230311|1.2058895|0.16747352|-0.28414214
13;0.776013|-0.015262395|0.42357326|0.03473249|-0.27748883|0.6779525|-0.07448307|-0.045676768|-0.10792474|-0.9717369|0.3546322|-0.9105451|0.00092726946|-0.8754542|0.23552534|-0.9192892|-0.1711475|0.33869696|0.66669226|-0.17324275|0.070856966|-0.059227556|-0.23998407|-0.47302628|0.6139214|0.040112108|0.1562407|-0.0029315948|-0.19253449|-1.0125935|-1.0911971|-0.2822386|0.59142804|0.1096829|-0.5377824|-0.054005682|-0.70471907|0.2009841|-0.15352115|-0.89644766|0.1634409|-0.47095263|-0.6153172|0.13105243|0.53074|-0.60513765|-0.17078102|0.50790185|0.42141932|0.6558782|0.362475|-0.18468799|-0.6613096|0.32300323|-0.1760044|-0.09627566|-0.37764093|-1.1731592|0.008989342|-0.36108196|-0.024579883|0.9114647|0.98908794|-0.8892409|0.5010352|-0.077126995|-0.16342247|0.2138738|-0.04932461|0.16324753|-0.20492598|0.8282486|-0.6817316|-0.45245907|-0.56142914|0.08588306|-0.47292066|0.007555425|0.21120608|0.2643382|0.114230186|0.011089388|-0.7785257|0.6612301|0.022472233|-0.20723587|0.36817646|-0.8278238|0.50882494|0.4731048|-0.09664792|0.47988206|-0.84956086|0.836941|-0.25098443|-0.009592339|0.39632416|0.36086658|-0.43448812|0.081816494
14;0.5963115|-0.52444696|-0.08030617|0.05287853|0.3339288|0.12388787|-0.8957984|0.8777541|0.08743811|-0.73961294|0.6962286|0.007297337|0.7050405|-0.7175092|1.0559913|-0.25453362|0.4465636|0.3410215|0.27424714|-0.41365364|-0.24881038|0.56975275|-0.74525034|0.16079657|0.057359874|-0.29647136|0.19678426|0.2859198|-0.1663373|-0.98717844|-0.15437692|0.10960643|0.51063657|0.62818104|-0.52074873|0.25864232|-0.29505596|0.23526761|-0.8173356|-0.5910929|0.5925684|-0.87973654|-0.26455337|0.28450966|-0.21861656|0.2421171|-0.47283462|-0.2634981|0.2449951|-0.41506577|0.88050014|-1.0060554|-0.61651814|-0.5622522|-0.55237913|0.07923485|0.94388235|-0.78397983|-0.05599418|-0.68818575|-0.04772012|-0.5297245|0.773557|0.13244715|0.17083628|1.0787864|-0.5650985|0.1340146|0.123203546|0.110039026|-0.34067336|0.36383152|-0.19276035|-0.103557445|-0.91280067|-0.33041966|0.021493137|-0.6796109|0.11850241|-0.34816897|-0.20158306|-0.24387744|-0.10380839|-0.43412083|-0.14106663|-0.30736125|-0.4199297|-0.18437782|0.8566696|0.41292584|-0.5732548|0.5931597|-0.35159206|-0.48239887|0.117316455|-0.3046599|-0.4356168|0.81891114|0.16078982|-0.23094408
15;0.35178888|-0.6257952|0.40164992|-0.14285204|-0.7891276|0.957813|-0.028047383|0.34306777|-0.2625208|-0.6457446|0.8234911|-0.37567845|-0.45327812|-0.39532217|0.8771421|-1.2108577|0.23094223|0.3040858|0.6410785|-0.57354915|0.42627484|0.2189058|-0.32412872|-0.4019077|-0.51094085|-0.3118633|-0.50446934|0.64649594|0.31007397|-0.5785246|-0.010073096|-0.13964213|-0.023093969|0.51693934|-0.84437746|0.52778316|-0.6310946|0.34019127|-0.17406653|-0.50210845|-0.4725051|0.25704166|-0.8169414|0.13801104|0.12633531|-0.7374724|0.060903102|-0.104529314|0.23049185|0.24182571|-0.21847397|-0.15321879|0.24655837|0.22160871|-0.10072808|0.048107028|-0.29811287|-0.37601|-0.09846783|-0.39101374|-0.42123905|-0.053690538|0.92669284|0.29406747|0.46657276|0.2500149|-0.40830916|0.054394536|-0.115551785|0.40373722|-0.5348363|0.38591507|-0.2878948|0.13940957|-0.33446753|0.7579899|-0.5875102|-0.64996743|0.21132714|0.2131107|-0.23048675|-0.11164297|-0.22314909|0.031886518|-0.14269699|-0.0059377924|0.3111019|0.0816523|0.37305328|0.25302523|-0.14942688|0.86398757|-0.20924273|0.32057387|-0.052969143|0.03594487|-0.2869467|0.5794119|0.2953191|0.07846388
16;0.54351485|-0.44289845|0.41261005|0.04986061|0.32333288|0.4804942|-0.33599222|0.3127233|-0.27446312|-0.46651074|0.8549105|0.12978742|0.5358691|-0.7782375|0.10611248|-0.3417582|0.0056307614|0.67573583|0.39228696|-0.8335463|0.33220887|0.14819962|-0.72772574|-0.26082546|-0.6824017|-0.31280726|0.03919691|0.38581544|-0.26132482|-0.6960218|-0.3589007|-0.1029544|0.2525704|-0.14745641|-0.47669414|-0.4332366|-0.48789972|0.2292449|0.20671296|-0.66267616|0.080095276|-0.500821|-0.6735972|-0.3517642|0.083276615|-0.11010167|-0.04038298|0.27394915|-0.20630282|0.3149122|0.6707867|-0.13553046|-0.737784|-0.34831965|-0.5801846|-0.10798898|-0.1104372|-0.21509299|-0.4192947|-0.49311858|-0.1578174|-0.030466244|0.077625215|0.04953474|0.12111236|0.25320706|-0.07436851|-0.35787305|0.061981883|0.35289735|-0.05145642|0.3363042|-0.7296587|0.76296246|-0.5099336|0.6648193|-0.25989816|-0.23789239|-0.14906442|-0.1444034|0.014878865|0.1661345|-0.37802908|0.20219058|-0.54446745|-0.20798647|0.63005066|-0.12676793|0.31136554|0.7299778|-0.36146188|0.20595357|-0.30130363|-0.28816032|0.033838034|-0.031858467|-0.13062407|0.581532|0.17587017|-0.2720385
17;0.510485|-0.39996362|0.17241928|-0.080795735|-0.3887349|0.05325809|-0.9347955|0.5561144|-0.13958229|-0.44511065|0.3729065|-0.1850577|0.10515262|-0.6656387|0.73506653|-0.6786081|-0.38842016|0.46549097|0.501883|-0.40656328|0.05499007|0.22464502|-0.7946142|-0.27568805|-0.36015084|-0.20612901|-0.36694437|0.79394823|0.015931554|-0.47661012|-0.5234833|0.26879492|0.4094265|0.6106102|-0.108041406|0.43058956|-0.45120713|0.29085067|-0.6885471|-0.510978|-0.34541154|0.13436544|-0.6310257|-0.18395516|0.1752694|-0.30014175|-0.033349544|-0.2617376|0.68009114|0.3590913|0.11940864|-0.52739656|-0.43157274|-0.5003191|-0.085254565|0.44303414|-0.1083775|-0.18264213|-0.45608905|-0.3407367|-0.14470577|0.4202639|0.7969161|-0.1338149|-0.004081768|0.22307286|-0.6076121|-0.32621112|0.52464527|0.6775367|-0.57326204|-0.29386908|-0.42727774|-0.095493734|-0.34519845|0.796572|-0.70856464|-0.41483134|0.48438346|-0.7212683|0.16484296|-0.41398755|-0.28908357|-0.022811644|-0.14192322|-0.11519918|0.80541134|0.27854732|-0.24537116|0.418925|-0.45618126|-0.02533096|-0.38515386|0.12585074|-0.7165781|-0.11035007|-0.41493875|0.3538859|0.3341474|-0.44741607
18;0.5332289|-0.5199856|-0.13800749|0.5505718|-0.11989474|0.5474581|-0.17102471|0.6993822|0.028163813|-0.20196688|0.44102213|-0.06372547|0.03221214|-0.25547832|0.91610026|-0.6707085|-0.47581387|0.61231786|0.24387272|-0.08015692|0.42513958|-0.69854265|-1.0349199|0.23026086|0.46634957|-0.6049115|-0.029221058|1.2322221|0.53603315|-0.32937795|0.3249865|0.010359939|0.7282253|0.10424881|-0.39426267|0.39633006|-0.51368797|0.17769715|-0.040055066|-0.8626626|0.0020586103|-0.7003116|-0.0032642782|-1.3566802|0.202415|-0.8423927|-1.0953948|-0.029845618|0.28408334|0.01133731|0.61566585|-0.37170166|-0.37481162|-0.3127449|0.025100738|0.20902114|-0.52417684|-0.051858664|-0.036750928|0.48350736|-0.6063336|-0.035164982|0.19334927|-0.13652903|0.65233|0.3236144|-0.026282996|-0.50822276|-0.34208074|0.24813524|-0.4600525|-0.20531978|-0.39987865|0.083631985|-0.79216516|0.10590979|-0.04223007|-0.91280794|0.25822818|0.24998935|-0.01859919|-0.13472551|-0.2685882|-0.3638626|-0.46586952|0.39313123|0.40560645|0.7179599|-0.3712392|1.0866685|-0.9996865|0.36110663|-0.47743145|0.35773784|-1.169441|-0.14749685|-0.3363955|0.6609487|-0.045723632|-0.18136635
19;0.8644133|-0.56301|-0.33560297|0.14358932|-0.45174888|0.68791044|-0.34091476|0.71393955|-0.13872592|-0.565122|0.29355636|-0.1318438|0.2526879|0.13586271|0.96472657|-0.8891287|-0.4289806|0.06055966|0.5461687|0.008255839|0.212579|0.24219379|-0.10084352|-0.33290866|-0.0565165|-0.9365486|-0.7593059|0.46357584|-0.18442298|0.06104198|-0.40025547|-0.105317384|0.59942466|0.496873|-0.17312145|-0.08049536|0.025840074|0.83696294|-0.6845441|-0.6961801|-0.29353714|-0.61421835|-0.90375984|-0.39432764|-0.13011809|-0.8943007|-0.3232906|-0.0029896311|0.52757883|0.23659813|0.85567725|-0.50517714|0.6702664|-0.3031723|0.24013597|1.0649312|-0.31550124|-0.5683031|0.061347187|-0.59642833|-0.5776575|-0.2532673|0.37581024|-0.50614554|-0.22898017|-0.37877703|-0.13144253|-0.058284227|0.17568699|0.0009982884|-0.2875601|0.26952597|-0.59058416|0.03893575|-0.18506524|0.17816697|-0.13805528|-0.7075752|0.3903938|-0.44550663|0.5447687|0.4979141|0.1699312|0.99480104|-0.27036986|0.040014848|0.3489272|0.6639784|0.8078045|-0.026885122|-0.357842|-0.07695857|-0.44455886|-0.027226642|-0.41290244|0.059378974|-0.3008644|0.4484893|-0.21800567|0.16027856
20;1.1265447|-0.3303575|0.18387823|0.5347533|0.52216303|0.8571856|0.19748038|0.91955507|-0.13331541|-0.6938|0.53365254|-0.2556851|0.37516022|-0.4277151|0.48783422|-0.7992554|-0.30931303|0.48693416|0.8449571|-0.44180062|0.25981787|0.2609607|-0.33525258|-0.04400216|-0.92212224|-0.7998986|-0.75185215|0.6526204|-0.011099227|-0.26760152|0.04168883|-0.18114756|0.5598047|0.16657883|-0.42092413|0.29028505|-0.52320534|0.09628638|-0.37295756|-0.63652813|-0.4282344|-0.52620625|-0.13719583|-0.46473983|0.41924173|-0.23930559|-0.4601864|-0.11722543|0.24464631|0.8530524|-0.23129046|-0.27465576|-0.53422064|-0.121922225|0.15693578|0.574862|-0.188948|-0.038282186|-0.3797059|-0.30684623|0.110729426|0.31063628|0.30008763|0.09930214|-0.5924555|0.7064434|-0.18782288|-0.047320206|0.061317034|-0.21145703|-0.30883634|0.04115741|-0.52430624|0.39959273|-0.5255037|0.033073485|-0.2981609|-0.7292399|0.07240412|-0.00017361343|-0.37255502|0.084810674|-0.6637503|-0.08774966|-0.3619262|-0.09915564|0.1852368|0.83378536|0.3177902|0.2434398|-0.37967163|0.17016648|0.13837653|0.12161125|-0.39902747|-0.5173933|-0.55305755|0.8142851|-0.03418|-0.6945443
